provider_name,status,risk_tier,primary_asn,additional_asns,known_prefixes,country_registration,country_operations,corporate_entity,aliases,parent_entity,upstream_providers,downstream_of,sanctions_designations,key_personnel,associated_threat_actors,associated_malware,operational_patterns,identification_signals,first_observed,last_updated,rf_threat_density_score,sources,notes,description
PROSPERO OOO / Proton66,flagged,T1-Confirmed BPH,AS200593,AS198953,"91.202.233.0/24; 91.215.85.0/24; 193.24.123.0/24 (AS200593); 37.77.150.0/24; 176.120.22.0/24; 193.143.1.0/24 (AS198953) - announced 2026-09-25, all on Spamhaus DROP. Historical Proton66 blocks now originated by unrelated ASNs (do not attribute): 45.135.232.0/24 (AS62300); 45.140.17.0/24 (AS58061)",Russia,Russia (St. Petersburg),PROSPERO OOO,BEARHOST; SecureHost; UNDERGROUND,,,,,,"GootLoader; SocGholish; Mora_001 (SuperBlack); ShinyHunters (CVE-2026-35273 exploitation, per Hunt.io); Blind Eagle / APT-C-36; The Gentlemen RaaS affiliate",GootLoader; SocGholish; SpyNote; FakeBat; XWorm; StrelaStealer; WeaXor/Mallox; SuperBlack; Coper/Octo,Underground forum advertising; Self-identified bulletproof,Spamhaus ASN-DROP (AS200593 pro-spero.ru; AS198953 proton66.ru); all announced /24s on Spamhaus DROP; Underground forum presence; Bulletproof self-identification; High malicious traffic ratio,,2026-09-25,,IOCTA-2026; INTRINSEC-PROSPERO; TRUSTWAVE-PROSPERO; GREYNOISE-PROSPERO; SPAMHAUS-ASNDROP-2026; REGISTRY-SNAPSHOT-2026-09; HUNTIO-EE-2026; HUNTIO-GENTLEMEN-2026; LEVELBLUE-BLINDEAGLE-2026,"Coupled Russian AS pair assessed by Intrinsec (high confidence) and Trustwave SpiderLabs as one operator marketed on Russian-language forums as BEARHOST/SecureHost/UNDERGROUND. Feb 2026 GreyNoise: 346 of 417 Ivanti EPMM exploitation sessions (83%) came from one AS200593 address, 193.24.123.42. 2026 activity: Hunt.io linked Proton66 to exploitation of Oracle PeopleSoft CVE-2026-35273 attributed to ShinyHunters (July) and found a The Gentlemen RaaS affiliate toolkit in an open directory at 176.120.22.127 (reported June); LevelBlue SpiderLabs reports Blind Eagle delivery infrastructure on Proton66 since June 2025. Chang Way Technologies (HK) is likely related (SpiderLabs saw IP shifts and a re-themed panel) and is tracked as its own row, not as an alias. Corrections 2026-09-25: the former known_prefixes 45.135.232.0/24 and 45.140.17.0/24 were historical Proton66 blocks now held by unrelated networks; FIN7 and the 'St. Petersburg IXP' upstream were removed (no supporting source). Block at CIDR level.",
Aeza International Ltd,sanctioned,T1-Confirmed BPH,AS210644,AS216246; AS203273 (NetCrafters OU [EE]; Spamhaus ASN-DROP under aeza.net),,United Kingdom (Companies House 15109642; UK front of Russia-registered Aeza Group LLC),Russia (St. Petersburg); EU-hosted infrastructure,"Aeza International Ltd (UK front, inc. 2023-09-01); Aeza Group LLC (Russia) holds AS210644/AS216246",Aeza; Aeza Group,Aeza Group LLC (Russia; primary OFAC designee),aurologic GmbH (AS30823),,"OFAC July 1 2025 (sb0185): Aeza Group LLC (primary) + Aeza International Ltd, Aeza Logistic LLC, Cloud Solutions LLC and four executives, coordinated with UK NCA; UK Nov 19 2025: Aeza Group LLC designated under the Russia regime (Aeza International Ltd not separately listed); OFAC Nov 19 2025 follow-on: Hypercore Ltd, Smart Digital Ideas DOO (RS), Datavice MCHJ (UZ), Maksim Makarov, Ilya Zakirov","CEO + 33% owner Arsenii Penzev; GD + 33% owner Yurii Bozoyan (both detained by Russian authorities in early April 2025 over BlackSprut hosting); technical director Vladimir Gast; 33% owner Igor Knyazev; Maksim Makarov (new executive, OFAC Nov 2025)","BianLian ransomware; Void Rabisu (RomCom); Dark Caracal (GoCaracal C2, 2026); Doppelganger influence operation",Meduza; Lumma; RedLine; BianLian; RomCom RAT; GoCaracal; Go-based macOS crypto-drainer (2026); BlackSprut darknet market (hosted),Shell games; Rapid rebranding (Hypercore successor),Spamhaus ASN-DROP (AS210644; AS216246; AS203273 under aeza.net); Sanctioned entity and personnel; High malicious traffic ratio; No KYC,,2026-09-25,,IOCTA-2026; RF-TAE-2026; OFAC-AEZA; CHAINALYSIS-OFAC; UK-COMPANIES-HOUSE; SPAMHAUS-ASNDROP-2026; ARCTICWOLF-DARKCARACAL-2026; HUNTRESS-MACOS-AEZA-2026; FCDO-UK-SANCTIONS-LIST,"OFAC designated Aeza Group LLC and its UK front Aeza International Ltd on 2025-07-01 (coordinated with the UK NCA) for hosting Meduza and Lumma infostealer operators, BianLian and the BlackSprut market. The TRON address TU4tDFRvcKhAZ1jdihojmBWZqvJhQCnJ4F sits on the Aeza Group LLC SDN entry. Owners Penzev and Bozoyan and two staff were detained by Russian authorities in early April 2025 (a Russian drug-market case, not a Western action). Evasion: 2,100+ IPs moved to the UK front Hypercore (AS211522) from 2025-07-20; Serbian (Smart Digital Ideas DOO) and Uzbek (Datavice MCHJ) vehicles followed - all OFAC-designated 2025-11-19. Sanctions have not ended operational use: AS210644 still announces 176 IPv4 prefixes; Arctic Wolf (Aug 2026) found 23 of 24 Dark Caracal GoCaracal C2s on Aeza networks and Huntress (Aug 2026) traced a ClickFix macOS crypto-drainer's staging and C2 to Aeza. Spamhaus now also lists AS203273 (NetCrafters OU, EE) under aeza.net. Roughly half of Aeza's prefixes transited aurologic AS30823 as of Nov 2025.",
Stark Industries Solutions,dissolved,T1-Confirmed BPH,AS44477 (historical; transferred to PQ Hosting Plus 2025-05-16; now deregistered),,,United Kingdom (Companies House 13906017; dissolved 2025-09-16),Moldova,Stark Industries Solutions Ltd,stark-industries.solutions; PQ.Hosting white label,PQ.Hosting (Neculiti) - RF describes Stark as its white-label pass-through; successors WorkTitans/THE.Hosting and UFO Hosting,,,EU May 20 2025: Council Implementing Regulation (EU) 2025/965 under the hybrid-threats regime Reg. (EU) 2024/2642 (not the 17th Russia package) - Stark Industries Solutions Ltd; Iurie Neculiti; Ivan Neculiti,Iurie Neculiti (CEO); Ivan Neculiti (owner of Stark Industries and PQ Hosting),NoName057(16); FIN7/GrayAlpha,Cobalt Strike; QuasarRAT; AsyncRAT; DarkGate; PlugX; GootLoader; RedLine; ShadowPad; SpyNote; Raccoon; Hook; Havoc; Mythic,Shell games; Rapid rebranding; Prefix migration; Sub-leasing,Sanctioned personnel; Shell company structure; Rapid rebranding,2022-02-10,2026-09-25,,IOCTA-2026; RF-TAE-2026; RF-STARK; GREYNOISE-STARK; CENSYS-BPH; EU-STARK; UK-COMPANIES-HOUSE; SPAMHAUS-ASNDROP-2026,"EU-listed 2025-05-20 (Impl. Reg. 2025/965). UK-incorporated 2022-02-10, two weeks before Russia's full-scale invasion of Ukraine; dissolved 2025-09-16. RF describes Stark as a white-label front for Moldova's PQ.Hosting, with MIRhosting (NL) as a key infrastructure partner. AS44477 moved to PQ Hosting Plus S.R.L. on 2025-05-16 - four days before designation (the often-quoted '12 days' is the lead time from the 2025-05-08 RFE/RL leak); the THE.Hosting rebrand followed on 2025-05-29. GreyNoise saw near-complete abandonment of AS44477 by Nov 2025; it has since left the routing table and the registry. The network continues as WorkTitans/THE.Hosting (AS209847, AS213999) and UFO Hosting (AS33993), all listed by Spamhaus ASN-DROP under stark-industries.solutions. RF attributes the chain's RIPE maintainer to Dmitrii Miasnikov. Doppelganger (an influence operation, not malware) and Sandworm were removed from the malware/actor fields for lack of a Stark-specific source.",
Zservers,sanctioned,T1-Confirmed BPH,AS197414 (historical; XHOST-INTERNET-SOLUTIONS; deregistered),AS213194 (successor hop); AS61336 (successor hop); AS213010 (successor hop),,Russia,Russia (Barnaul),"Zservers (Russia, Barnaul); XHOST Internet Solutions LP (UK front, UK-designated)",XHost; zservers.ru; isxhost.uk,,,,"Feb 11 2025 trilateral, differing by authority - OFAC: Zservers, Alexander Mishin, Aleksandr Bolshakov (3 BTC addresses on Zservers, 1 on Mishin); UK: ZSERVERS, XHOST Internet Solutions LP and six individuals; Australia (Feb 12 2025 AEDT): Zservers and five individuals",Aleksandr Bolshakov; Alexander Mishin (admins; designated by US/UK/AU); Ilya Sidorov; Dmitry Bolshakov; Igor Odintsov (UK and AU); Vladimir Ananev (UK),LockBit affiliates; BianLian; Hunters International,LockBit; Mallox; Dharma; Phobos; Globeimposter; Cryptolocker; REvil,Prefix hopping; Shell games (XHOST UK front),"Sanctioned entity and personnel; LE seizure (127 servers, NL, Feb 2025); High malicious traffic ratio; Underground forum presence",,2026-09-25,,OFAC-ZSERVERS; CHAINALYSIS-BPH; FCDO-UK-SANCTIONS-LIST; AU-DFAT-ZSERVERS; THERECORD-ZSERVERS-SEIZURE; INTRINSEC-UAC-2025; MALTRAIL-WORST-ASNS,"Designated 2025-02-11 by the US, UK and Australia (per-authority lists in sanctions_designations). UK and Australian texts tie Zservers infrastructure to the 2022 Medibank data leak; Chainalysis traced payments from LockBit, BianLian, Hunters International and others. On 2025-02-12 Dutch police took 127 Zservers/XHOST servers offline in Amsterdam. The Zservers/XHOST ASN was AS197414 (historical prefixes 185.170.144.0/24 and 87.251.64.0/24, now held by unrelated networks); Spamhaus listed it under zservers.ru until at least Dec 2025 and it is now deregistered. Intrinsec assessed with high confidence that Zservers prefixes moved to AS213194, AS61336 and AS213010 (small footprints still announced; none on ASN-DROP). CORRECTION 2026-09-25: AS216071, previously listed here as historical, is VDSina / SERVERS TECH FZCO (UAE), an active ~156k-address network with no public link to Zservers - removed from this row; do not block it as Zservers infrastructure.",
Media Land LLC,sanctioned,T1-Confirmed BPH,AS206728,AS215376 (ML Cloud Ltd); AS211805 (registered to Media Land LLC; no routes),45.141.85.0/24; 91.220.163.0/24 (AS206728); 176.98.187.0/24 (AS215376) - all on Spamhaus DROP,Russia,Russia (St. Petersburg),Media Land LLC,Yalishanda (operator handle); sshvps.net; ML.Cloud (sister company); Media Land Technology (subsidiary); Data Center Kirishi (subsidiary),,,,"OFAC Nov 19 2025 (sb0319): Media Land LLC, ML.Cloud LLC, Media Land Technology, Data Center Kirishi + Volosovik, Zatolokin, Pankova; UK Nov 19 2025 (Cyber regime): Media Land LLC, ML.Cloud LLC, Volosovik, Zatolokin, Pankova, Andrei Kozlov; Australia Nov 20 2025: Media Land LLC, ML.Cloud LLC, Volosovik, Zatolokin; EU July 13 2026 (Impl. Reg. (EU) 2026/1714): Media Land LLC, ML.Cloud, Volosovik; New Zealand Aug 8 2026: Volosovik; DOJ N.D. Ohio indictment (returned Dec 5 2024, unsealed July 14 2026)",Aleksandr Volosovik ('Yalishanda'; general director; also transliterated Volosovyk); Kirill Zatolokin; Yulia Pankova; Andrei Kozlov (UK-designated only),LockBit; BlackSuit; Play ransomware,Trickbot; Emotet; Qakbot; IcedID,Shell games; Long-running operation,Spamhaus ASN-DROP (AS206728; AS215376 under sshvps.net); High malicious traffic ratio; No KYC; Underground forum presence,,2026-09-25,,OFAC-MEDIALAND; INTEL471-MEDIALAND; TEAMCYMRU-VIRTUALINE; SPAMHAUS-BPH; EU-CYBER-2026-1714; DOJ-MEDIALAND-INDICTMENT; SPAMHAUS-ASNDROP-2026; AU-DFAT-MEDIALAND; INTEL471-BPH-2026; NZ-MFAT-RUSSIA-2026-08,"Designated 2025-11-19 by the US, UK and Australia with differing lists (see sanctions_designations); the EU followed on 2026-07-13 and New Zealand designated Volosovik on 2026-08-08. The N.D. Ohio indictment unsealed 2026-07-14 (Operation Riptide) charges Volosovik, Zatolokin, Pankova, Medialand LLC and ML.Cloud LLC over attacks causing more than $62M in victim losses. Treasury described Media Land as a launch pad for LockBit, BlackSuit and Play ransomware. The OFAC SDN entry for Volosovik carries BTC address 18dLDAWi8LmrHbEq3QzDJb9SLxCf4uimXB. Intel 471 (Aug 2026): roughly 80% of ~2,240 yalishanda customer domains stayed online into June 2026, with demand shifting to mainstream clouds and to new services (OtusCloud, reming, fluxy). Corrections 2026-09-25: AS48721 (Flyservers), AS211409 (FoxiBytes) and AS215311 (Regxa) were removed - no source links them to Media Land; AS215376 (ML Cloud Ltd, 176.98.187.0/24) and the dormant AS211805 were added.",
ELITETEAM / 1337TEAM LIMITED,active,T1-Confirmed BPH,AS51381 (registered; no routes),AS39770 (historical; deregistered); AS60424 (historical; deregistered); AS56873 (registered; no routes),185.215.113.0/24 (historical; unrouted as of 2026-09-25),Seychelles,Russia,1337TEAM LIMITED,ELITETEAM-PEERING-AZ1,,Historical (2020-22): Crex Fex Pex (AS3555); Infolika (AS203804); RAIT TELECOM (AS213254); DDoS-Guard (AS49612),,,,,Amadey; RedLine; Stealc,Offshore shell registration; High concentration malicious traffic,"Spamhaus ASN-DROP (AS51381; AS56873 under eliteteam.to); Offshore registration; Network dark (no prefixes announced, 2026-09-25)",2020-11,2026-09-25,,TRENDMICRO-INTERPOL; TEAMCYMRU-ELITETEAM-2022; SPAMHAUS-ASNDROP-2026; REGISTRY-SNAPSHOT-2026-09,"Russia-operated BPH registered in the Seychelles at an address that appears in the Panama Papers/Offshore Leaks (Team Cymru). Team Cymru (2022) listed four 1337TEAM ASNs operating mainly from AS51381 and recommended blocking 185.215.113.0/24, a long-running Amadey/RedLine C2 block. Current state (2026-09-25): AS51381 and AS56873 are still registered to 1337TEAM LIMITED and remain on Spamhaus ASN-DROP but announce nothing; AS39770 and AS60424 are gone from the registry; 185.215.113.0/24 is unrouted. Status kept 'active' because no dissolution, sanction or seizure is documented - treat the network as dormant and watch for re-announcement. Corrections 2026-09-25: upstreams are historical and Filanco (AS3175, Datahouse.ru) was a downstream, not an upstream; the Turla link was removed (Microsoft's Secret Blizzard/Amadey reporting does not name ELITETEAM); the unsourced 'VirusTotal 100%' claim and BabbleLoader were removed.",
FUNNULL Technology Inc.,sanctioned,T1-Confirmed BPH,,AS152194 (hosting ASN used; CTG Server Limited - not FUNNULL-owned),,Philippines,China/Philippines,FUNNULL Technology Inc.,FUNNULL CDN; Fang Neng CDN; funnull.io; Bole CDN / CDN1.ai (pre-sanction front brands),,,,OFAC May 29 2025 (sb0149): Funnull Technology Inc. and administrator Liu Lizhi,Liu Lizhi ('Steve'; administrator; Chinese national),Triad Nexus,Pig-butchering infrastructure; phishing portals,Infrastructure laundering (compromised cloud accounts); Geofencing,High malicious traffic ratio; Infrastructure laundering; Sanctioned personnel,,2026-09-25,,OFAC-FUNNULL; SILENTPUSH-FUNNULL; FBI-IC3-FUNNULL; SILENTPUSH-TRIADNEXUS-2026,"OFAC-designated 2025-05-29 (with Liu Lizhi) for infrastructure behind cryptocurrency investment scams causing more than $200M in US victim-reported losses; the FBI FLASH the same day counted 548 FUNNULL CNAMEs linked to 332,000+ domains since Jan 2025. Taguig (Philippines) company run by a Chinese national. CTG Server Limited (AS152194) was one of several ASNs hosting FUNNULL points of presence in Silent Push's 2024 mapping; it is not FUNNULL's parent and was not designated. Silent Push (Apr 2026): Triad Nexus kept operating through 'clean' front brands (Bole CDN, CDN1.ai and others) that were launched before the May 2025 sanctions, plus accounts at major clouds and US-IP geofencing.",
WorkTitans B.V. / THE.Hosting,evading,T1-Confirmed BPH,AS209847,"AS213999 (THE-CLIENTS; registered, no routes)",,Netherlands,Netherlands,WorkTitans B.V.,THE.Hosting; Misfits Media; WT Hosting,Fezzy B.V. (sole shareholder); Stark Industries Solutions (predecessor network),MIRhosting B.V. (AS52000) - Krebs: sole connectivity,,"Not directly designated; successor to EU-sanctioned Stark Industries/Neculiti (AS209847 created June 24 2025, after the May 20 2025 designation)","Youssef Zinad (owner; arrested 2026-05-18, name press-reported)",NoName057(16); MuddyWater (MOIS) and two other Iranian groups (Check Point 2026),,Sanctions-evasion vehicle; Rapid rebranding,Spamhaus ASN-DROP (AS209847; AS213999 under stark-industries.solutions); Shell company structure; Sanctioned personnel (via Neculiti); Rapid rebranding,2025-05-28,2026-09-25,,RF-STARK; GREYNOISE-STARK; CENSYS-BPH; EU-STARK; KREBS-FIOD-STARK; DARKREADING-ELLIO-STARK; SPAMHAUS-ASNDROP-2026; CHECKPOINT-WORKTITANS-IRAN-2026,"Dutch post-sanctions successor to Stark Industries/PQ.Hosting. WorkTitans B.V. was formed in 2019 as a recruitment firm; its Stark-successor role starts with RIPE org ORG-THE3-RIPE (created 2025-05-28) and prefix transfers from 2025-05-29; AS209847 was created 2025-06-24 and AS213999 (THE-CLIENTS) also belongs to WorkTitans. AS209847 announced 21 prefixes in Aug 2025 and 11 today. GreyNoise confirmed the migration from AS44477 (Aug-Nov 2025); Censys matched RDP hostname reuse (WIN-J9D866ESIJ2). FIOD raided the Dutch nodes on 2026-05-18: 800+ servers seized at data centres in Dronten and Schiphol-Rijk; WorkTitans owner Youssef Zinad and MIRhosting founder Andrey Nesterenko arrested (names press-reported). ELLIO saw scanning back near pre-raid levels more than a week later, but later reports conflict (one telemetry source reports a 94% drop in the indexed fleet; a Russian-language hosting knowledge base says the THE.Hosting site announced it had stopped operating) - status kept 'evading' pending clarity. Check Point (June 2026): three Iranian groups including MuddyWater used WorkTitans infrastructure for core operations.",
Hypercore LTD,sanctioned,T1-Confirmed BPH,AS211522 (dark since ~2026-02),,,United Kingdom,UK registered office only; infrastructure was Aeza's (EU/RU),Hypercore LTD,Aeza front company,Aeza Group LLC (front company),,,"OFAC Nov 19 2025 (E.O. 13694, as an Aeza Group front); not listed in the UK notices of the same date",,,,Sanctions-evasion vehicle; Corporate shell,Shell company structure; Sanctioned personnel (via Aeza),,2026-09-25,,OFAC-AEZA; OFAC-MEDIALAND; UK-COMPANIES-HOUSE; SILENTPUSH-AEZA-2025; REGISTRY-SNAPSHOT-2026-09,"UK-registered Aeza Group front (Companies House 16558658; 120 Fleet Street, London); the second iteration of Aeza's UK-shell playbook. AS211522 (RIPE as-name HYPERCORELTD) was allocated ~2025-07-10 and received 2,100+ IPs from Aeza's AS210644 starting 2025-07-20 (Silent Push). OFAC designated Hypercore on 2025-11-19; it is an OFAC-only designation (the earlier 'OFAC/OFSI' wording was wrong). Spamhaus listed AS211522 under aeza.net in Dec 2025; it has since been delisted and the ASN has announced nothing since ~2026-02. Former Hypercore prefixes now originate from First Server Limited ASNs (45.142.122.0/24 via AS205090; 185.174.136.0/24 via AS200740) - a lead, not proof of common control. Incorporation date 2025-07-03 is unverified (possibly conflated with Datavice). CORRECTION 2026-09-25: AS215552, previously the primary ASN, belongs to an unrelated Romanian individual and was removed.",
Femo IT Solutions Ltd (Defhost),flagged,T1-Confirmed BPH,AS214351,,62.60.226.0/24; 192.162.199.0/24; 196.251.107.0/24; 196.251.122.0/24 (announced 2026-09-25; all on Spamhaus DROP),United Kingdom (shell),Germany/Ukraine,Femo IT Solutions Ltd,Defhost; defhost.co; FEMOIT,,aurologic GmbH (AS30823),aurologic GmbH,,"Artur Vovk (director, per RF)",,SVCStealer; CoinMiner; DonutLoader; Rhadamanthys; Stealc; RemcosRAT; QuasarRAT; RedLine; Lumma; OrcusRAT; PrivateLoader; SmokeLoader; Amadey; CastleLoader; Evilginx/EvilGoPhish; DanaBot; Meduza Stealer,No route diversification (aurologic only); Shell company,Spamhaus ASN-DROP (AS214351); Self-advertised abuse-resilient hosting; High malicious traffic ratio; No route diversification; Shell company structure,2024-08-15,2026-09-25,"RF 2025 top-10 (#8, as Defhost)",RF-TAE-2026; RF-AUROLOGIC; SPAMHAUS-ASNDROP-2026; REGISTRY-SNAPSHOT-2026-09,"UK shell (incorporated 2024-08-08; AS214351 allocated seven days later) that RF Insikt assesses with high confidence to be under the control of the Defhost BPH brand, which advertises 'fast abusive VPS/VDS' resilient against Western law enforcement. Payment via Heleket.com, shared across the cluster. Hosts C2 and loader infrastructure for 15+ malware families. RF ranks Defhost #8 in its 2025 Threat Density top 10 and AS214351 is on Spamhaus ASN-DROP (domain as214351.com). Tier raised T2 -> T1 on 2026-09-25 (taxonomy T1: self-advertised bulletproof with corroborating infrastructure evidence; RF top-decile density). Announced space grew from 2 /24s (62.60.226.0/24, 176.46.152.0/24 at RF publication) to 4 /24s now; 176.46.152.0/24 has moved to an unrelated Iranian network. The unsourced date and place of birth previously given for the director were removed.",
